question_no,question_text,option_a,option_b,option_c,option_d,correct,points
1,ما هي عاصمة الأردن؟,عمان,بيروت,دمشق,القاهرة,A,1
2,ما هو أكبر كوكب في المجموعة الشمسية؟,الأرض,المشتري,زحل,عطارد,B,1
3,كم عدد أيام الأسبوع؟,خمسة,ستة,سبعة,ثمانية,C,1
4,ما لون السماء في يوم صافٍ؟,أحمر,أزرق,أخضر,أصفر,B,1
5,ما ناتج ٨ + ٥؟,١٢,١٣,١٤,١٥,B,1
6,ما هي عاصمة إنجلترا؟,London,Paris,Berlin,Madrid,A,1
7,"Which of these words is Arabic for ""book""?",كتاب,قلم,باب,شمس,A,1
8,ما هو أصغر عدد أولي؟,واحد,اثنان,ثلاثة,أربعة,B,1
9,ما هي عملة الأردن؟,دينار,ريال,جنيه,درهم,A,1
10,كم عدد فصول السنة؟,اثنان,ثلاثة,أربعة,خمسة,C,1
11,ما هو الكوكب الأحمر؟,الأرض,المريخ,زحل,أورانوس,B,1
12,ما ناتج ١٠ - ٤؟,خمسة,ستة,سبعة,ثمانية,B,1
13,ما هي أكبر قارة في العالم؟,أفريقيا,آسيا,أوروبا,أستراليا,B,1
14,"What is the English word for ""شمس""?",Moon,Sun,Star,Sky,B,1
15,ما هو عدد حروف اللغة العربية؟,عشرون,ستة وعشرون,ثمانية وعشرون,ثلاثون,C,1
