question_no,question_text,option_a,option_b,option_c,option_d,correct,points
1,"Which word means ""happy""?",Sad,Joyful,Angry,Tired,B,1
2,"Which word means ""big""?",Tiny,Small,Huge,Short,C,1
3,"Which word is the opposite of ""fast""?",Quick,Slow,Rapid,Speedy,B,1
4,"Which word means ""to begin""?",End,Finish,Start,Stop,C,1
5,"Which word means ""smart""?",Clever,Silly,Lazy,Weak,A,1
6,"Which word is a synonym for ""difficult""?",Easy,Simple,Hard,Light,C,1
7,"Which word means ""to look for""?",Find,Search,Hide,Lose,B,1
8,"Which word means ""friendly""?",Kind,Rude,Mean,Cold,A,1
9,"Which word is the opposite of ""open""?",Closed,Wide,Empty,Full,A,1
10,"Which word means ""to say sorry""?",Apologize,Argue,Agree,Announce,A,1
11,"Which word means ""very tired""?",Exhausted,Excited,Energetic,Eager,A,1
12,"Which word is a synonym for ""beautiful""?",Ugly,Pretty,Plain,Dull,B,1
13,"Which word means ""to help""?",Hinder,Harm,Assist,Ignore,C,1
14,"Which word means ""quiet""?",Loud,Silent,Noisy,Bright,B,1
15,"Which word is the opposite of ""early""?",Prompt,Late,Soon,First,B,1
