question_no,question_text,option_a,option_b,option_c,option_d,correct,points
1,ما ناتج جمع ٢ + ٣؟,٤,٥,٦,٧,B,2
2,ما ناتج ٧ - ٤؟,٢,٣,٤,٥,B,1
3,ما ناتج ٦ × ٢؟,١٠,١١,١٢,١٣,C,1
4,ما ناتج ٩ ÷ ٣؟,٢,٣,٤,٥,B,1
5,ما هو العدد الأولي من بين التالي؟,٤,٦,٧,٨,C,1
6,ما ناتج ٥ + ٥ + ٥؟,١٠,١٥,٢٠,٢٥,B,2
7,كم ضلعاً للمثلث؟,٢,٣,٤,٥,B,1
8,ما ناتج ١٠ × ١٠؟,١٠٠,١٠,١٠٠٠,١١٠,A,1
9,ما هو نصف ٥٠؟,٢٠,٢٥,٣٠,٣٥,B,1
10,ما ناتج ١٥ - ٧؟,٧,٨,٩,١٠,B,1
11,كم عدد أيام الأسبوع؟,٥,٦,٧,٨,C,2
12,ما ناتج ٣ × ٣ × ٣؟,٩,١٨,٢١,٢٧,D,1
13,ما هو العدد الزوجي؟,٣,٥,٨,٩,C,1
14,ما ناتج ١٠٠ - ٥٥؟,٤٥,٤٠,٥٠,٥٥,A,1
15,ما ناتج ٤ + ٦ × ٢؟,٢٠,١٦,١٢,١٨,B,1
