question_no,question_text,option_a,option_b,option_c,option_d,correct,points
1,What is 1 + 2?,3,4,2,2,A,1
2,What is 2 + 3?,5,6,4,6,A,1
3,What is 3 + 4?,7,8,6,12,A,1
4,What is 4 + 5?,9,10,8,20,A,1
5,What is 5 + 6?,11,12,10,30,A,2
6,What is 6 + 7?,13,14,12,42,A,1
7,What is 7 + 8?,15,16,14,56,A,1
8,What is 8 + 9?,17,18,16,72,A,1
9,What is 9 + 10?,19,20,18,90,A,1
10,What is 10 + 11?,21,22,20,110,A,2
11,What is 11 + 12?,23,24,22,132,A,1
12,What is 12 + 13?,25,26,24,156,A,1
13,What is 13 + 14?,27,28,26,182,A,1
14,What is 14 + 15?,29,30,28,210,A,1
15,What is 15 + 16?,31,32,30,240,A,2
