question_no,question_text,option_a,option_b,option_c,option_d,correct,points
1,What planet do we live on?,Mars,Earth,Venus,Jupiter,B,2
2,What gas do plants absorb from the air?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,C,1
3,What is the boiling point of water at sea level (°C)?,90,100,110,120,B,1
4,What organ pumps blood around the body?,Lungs,Liver,Heart,Kidney,C,1
5,What force pulls objects toward the Earth?,Magnetism,Gravity,Friction,Tension,B,1
6,What is H2O commonly known as?,Salt,Water,Oxygen,Sugar,B,2
7,Which of these is a mammal?,Shark,Eagle,Dolphin,Frog,C,1
8,What part of the plant absorbs water?,Leaf,Flower,Root,Stem,C,1
9,What is the closest star to Earth?,Proxima Centauri,The Sun,Sirius,Betelgeuse,B,1
10,How many bones are in the adult human body?,106,186,206,306,C,1
11,What state of matter has a fixed shape and volume?,Gas,Liquid,Solid,Plasma,C,2
12,What do we call animals that only eat plants?,Carnivores,Herbivores,Omnivores,Decomposers,B,1
13,What is the chemical symbol for gold?,Gd,Go,Au,Ag,C,1
14,What process do plants use to make food from sunlight?,Respiration,Digestion,Photosynthesis,Evaporation,C,1
15,What is the largest organ in the human body?,Heart,Skin,Liver,Brain,B,1
